,batting_team,bowling_team,city,runs_left,balls_left,wickets_remaining,total_run_x,crr,rrr,results
130,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,219,119,3,223,24.0,11.04,0
131,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,219,119,2,223,24.0,11.04,0
132,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,219,118,1,223,12.0,11.14,0
133,Royal Challengers Bangalore,Kolkata Knight Riders,Bangalore,215,117,0,223,16.0,11.03,0
355,Punjab Kings,Punjab Kings,Chandigarh,231,119,3,241,60.0,11.65,0
356,Punjab Kings,Punjab Kings,Chandigarh,231,118,2,241,30.0,11.75,0
357,Punjab Kings,Punjab Kings,Chandigarh,230,117,1,241,22.0,11.79,0
358,Punjab Kings,Punjab Kings,Chandigarh,230,116,0,241,16.5,11.9,0
595,Delhi Capitals,Delhi Capitals,Delhi,130,125,9,130,-0.0,6.24,0
596,Delhi Capitals,Delhi Capitals,Delhi,130,124,8,130,-0.0,6.29,0
597,Delhi Capitals,Delhi Capitals,Delhi,130,123,7,130,-0.0,6.34,0
598,Delhi Capitals,Delhi Capitals,Delhi,130,122,6,130,-0.0,6.39,0
601,Delhi Capitals,Delhi Capitals,Delhi,118,119,3,130,72.0,5.95,0
602,Delhi Capitals,Delhi Capitals,Delhi,114,118,2,130,48.0,5.8,0
603,Delhi Capitals,Delhi Capitals,Delhi,110,117,1,130,40.0,5.64,0
604,Delhi Capitals,Delhi Capitals,Delhi,110,116,0,130,30.0,5.69,0
815,Royal Challengers Bangalore,Mumbai Indians,Mumbai,166,125,9,166,-0.0,7.97,1
821,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,119,3,166,60.0,7.87,1
822,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,118,2,166,30.0,7.93,1
823,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,117,1,166,20.0,8.0,1
824,Royal Challengers Bangalore,Mumbai Indians,Mumbai,156,116,0,166,15.0,8.07,1
1062,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,119,3,111,36.0,5.29,1
1063,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,118,2,111,18.0,5.34,1
1064,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,105,117,1,111,12.0,5.38,1
1065,Kolkata Knight Riders,Sunrisers Hyderabad,Kolkata,103,116,0,111,12.0,5.33,1
1300,Rajasthan Royals,Punjab Kings,Jaipur,167,125,9,167,-0.0,8.02,1
1306,Rajasthan Royals,Punjab Kings,Jaipur,161,119,3,167,36.0,8.12,1
1307,Rajasthan Royals,Punjab Kings,Jaipur,161,119,2,167,36.0,8.12,1
1308,Rajasthan Royals,Punjab Kings,Jaipur,160,118,1,167,21.0,8.14,1
1309,Rajasthan Royals,Punjab Kings,Jaipur,160,117,0,167,14.0,8.21,1
1547,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,135,119,3,143,48.0,6.81,0
1548,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,131,118,2,143,36.0,6.66,0
1549,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,130,117,1,143,26.0,6.67,0
1550,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,126,116,0,143,25.5,6.52,0
1751,Mumbai Indians,Chennai Super Kings,Chennai,209,125,9,209,-0.0,10.03,0
1757,Mumbai Indians,Chennai Super Kings,Chennai,200,119,3,209,54.0,10.08,0
1758,Mumbai Indians,Chennai Super Kings,Chennai,200,118,2,209,27.0,10.17,0
1759,Mumbai Indians,Chennai Super Kings,Chennai,196,119,1,209,78.0,9.88,0
1760,Mumbai Indians,Chennai Super Kings,Chennai,196,118,0,209,39.0,9.97,0
2005,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,215,125,9,215,-0.0,10.32,1
2006,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,215,124,8,215,-0.0,10.4,1
2011,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,204,119,3,215,66.0,10.29,1
2012,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,204,118,2,215,33.0,10.37,1
2013,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,202,117,1,215,26.0,10.36,1
2014,Rajasthan Royals,Sunrisers Hyderabad,Hyderabad,201,116,0,215,21.0,10.4,1
2251,Mumbai Indians,Punjab Kings,Chandigarh,183,125,9,183,-0.0,8.78,0
2257,Mumbai Indians,Punjab Kings,Chandigarh,180,119,3,183,18.0,9.08,0
2258,Mumbai Indians,Punjab Kings,Chandigarh,174,118,2,183,27.0,8.85,0
2259,Mumbai Indians,Punjab Kings,Chandigarh,174,117,1,183,18.0,8.92,0
2260,Mumbai Indians,Punjab Kings,Chandigarh,174,116,0,183,13.5,9.0,0
2501,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,136,125,9,136,-0.0,6.53,1
2507,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,126,119,3,136,60.0,6.35,1
2508,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,122,118,2,136,42.0,6.2,1
2509,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,122,117,1,136,28.0,6.26,1
2510,Rajasthan Royals,Royal Challengers Bangalore,Bangalore,122,116,0,136,21.0,6.31,1
